1,1,1,"This is the first comment.",2023-09-01T10:00:00,2023-09-01T10:00:00
2,2,1,"A reply to the first comment.",2023-09-01T10:05:00,2023-09-01T10:05:00
3,3,1,"Another reply to the first comment.",2023-09-01T10:10:00,2023-09-01T10:10:00
4,2,1,"Commenting on the second comment.",2023-09-01T10:15:00,2023-09-01T10:15:00
5,4,2,"Commenting on the third comment.",2023-09-01T10:20:00,2023-09-01T10:20:00
6,1,2,"A new comment from the first commentator.",2023-09-01T10:25:00,2023-09-01T10:25:00
7,3,3,"Commenting again on the first comment.",2023-09-01T10:30:00,2023-09-01T10:30:00
8,5,4,"Another comment from a new commentator.",2023-09-01T10:35:00,2023-09-01T10:35:00
9,1,5,"Yet another comment from the first commentator.",2023-09-01T10:40:00,2023-09-01T10:40:00
10,2,6,"Last comment from the second commentator.",2023-09-01T10:45:00,2023-09-01T10:45:00
